;EXPERIMENT;

Desvio Padrão das Frequências
;2;4;6;8;10;12;14;16;18;20;
Node Counting;0,000114;0,000188;0,000186;0,000253;0,000305;0,000347;0,000436;0,000492;0,000534;0,000590;
LRTA;0,000408;0,000799;0,001280;0,001643;0,002044;0,002476;0,002975;0,003395;0,003688;0,004226;
Reactive With Flags;0,018451;0,037271;0,073797;0,085871;0,114413;0,118884;0,142557;0,145756;0,156956;0,181537;
BalloonDFS;0,033653;0,058222;0,075078;0,088732;0,100497;0,110976;0,120504;0,129293;0,137483;0,145177;


Desvio Padrão dos Intervalos
;2;4;6;8;10;12;14;16;18;20;
Node Counting;595,553208;441,978922;295,518788;271,330878;204,531168;189,971386;187,946220;160,481116;153,362476;146,633192;
LRTA;606,626615;458,590347;271,235749;233,076830;212,267980;195,247408;177,330386;169,044694;159,012526;151,676114;
Reactive With Flags;2.237,592608;1.396,986783;1.199,666092;1.103,131430;772,299688;603,737314;597,905910;435,650955;448,153456;329,845984;
BalloonDFS;488,598617;359,494997;302,943027;258,636127;233,237430;209,497131;192,994208;187,014871;174,442255;164,274408;


